254,OTU254,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,AACY020563509.792.2305,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
279,OTU279,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,AACY020564058.27.1569,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
17,OTU17,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,AACY020564593.3718.5259,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
37,OTU37,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Salinisphaeraceae,ZD0417 marine group,AACY020565564.130.1652,g_ZD0417 marine group,Bacteria;Proteobacteria;Gammaproteobacteria;HOC36;
133,OTU133,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Pseudospirillum,AACY023938218.20.1535,g_Pseudospirillum,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Pseudohongiellaceae;Pseudohongiella;
2,OTU2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group,AACY024102418.157.1623,g_AEGEAN-169 marine group,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;AEGEAN-169 marine group;
333,OTU333,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Leeuwenhoekiella,AANC01000011.208.1734,g_Leeuwenhoekiella,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Leeuwenhoekiella;
988,OTU988,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Polaribacter,AAOG01000005.3703.5223,g_Polaribacter,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Polaribacter;
1973,OTU1973,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,AAQG01000006.168651.170147,g_Sphingobium,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;
3177,OTU3177,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,AB016054.1.1536,g_Psychrobacter,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;
3346,OTU3346,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,AB016055.1.1531,g_Psychrobacter,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;
1467,OTU1467,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,AB053126.1.1535,g_Alcanivorax,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae1;Alcanivorax;
2625,OTU2625,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,AB055794.1.1498,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
1007,OTU1007,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,AB125366.1.1479,g_Pseudomonas,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;
358,OTU358,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,,AB193901.1.1435,f_S25-593,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;S25-593;
460,OTU460,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,AB193916.1.1438,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;Clade Ia;
167,OTU167,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,AB193918.1.1524,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
635,OTU635,Archaea,Thaumarchaeota,Marine Group I,,,,AB193958.1.1441,c_Marine Group I,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;
1530,OTU1530,Archaea,Thaumarchaeota,Marine Group I,,,,AB193960.1.1440,c_Marine Group I,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;
87,OTU87,Archaea,Thaumarchaeota,Marine Group I,,,,AB193965.1.1440,c_Marine Group I,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;
422,OTU422,Archaea,Thaumarchaeota,Marine Group I,,,,AB193967.1.1440,c_Marine Group I,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;
74,OTU74,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,,AB193978.1.1441,f_Marine Group II,Archaea;Thermoplasmatota;Thermoplasmata;Marine Group II;
998,OTU998,Archaea,Thaumarchaeota,Marine Group I,,,,AB193984.1.1441,c_Marine Group I,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;
956,OTU956,Archaea,Thaumarchaeota,Marine Group I,,,,AB193988.1.1441,c_Marine Group I,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;
