2165,OTU2165,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter clade NAC11-7 lineage,FJ826110.1.1441,g_Roseobacter clade NAC11-7 lineage,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Amylibacter;
1107,OTU1107,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS4 marine group,FJ826119.1.1472,g_NS4 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS4 marine group;
1749,OTU1749,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,SAR92 clade,FJ826169.1.1468,g_SAR92 clade,Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Porticoccaceae;SAR92 clade;
1324,OTU1324,Bacteria,Cyanobacteria,Chloroplast,,,,FJ826247.1.1220,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
568,OTU568,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Defluviicoccus,FJ826248.1.1455,g_Defluviicoccus,Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;uncultured;
2340,OTU2340,Bacteria,Cyanobacteria,Chloroplast,,,,FJ826251.1.1219,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
1489,OTU1489,Bacteria,Cyanobacteria,Chloroplast,,,,FJ826265.1.1219,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
1762,OTU1762,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospira,FJ826317.1.1453,g_Magnetospira,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Magnetospiraceae;Magnetospira;
1266,OTU1266,Bacteria,Cyanobacteria,Chloroplast,,,,FJ826491.1.1449,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
737,OTU737,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Marinoscillum,FJ980777.1.1485,g_Marinoscillum,Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Marinoscillum;
491,OTU491,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus,FJ999606.1.1357,g_Synechococcus,Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Cyanobium PCC-6307;
647,OTU647,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus,FJ999613.1.1344,g_Synechococcus,Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Synechococcus CC9902;
1406,OTU1406,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,FM992724.1.1457,g_Alteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Salinimonas;
907,OTU907,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group,FN433328.1.1525,g_NS5 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;
236,OTU236,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group,FN433348.1.1495,g_NS5 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;
525,OTU525,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,NS9 marine group,,FN433409.1.1491,f_NS9 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;NS9 marine group;
186,OTU186,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS4 marine group,FN433412.1.1496,g_NS4 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS4 marine group;
662,OTU662,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group,FN433426.1.1497,g_NS5 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;
2580,OTU2580,Bacteria,Cyanobacteria,Chloroplast,,,,FN563089.1.1468,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
5555,OTU5555,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Cryomorphaceae,Brumimicrobium,FN994947.1.1357,g_Brumimicrobium,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Crocinitomicaceae;Brumimicrobium;
2234,OTU2234,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,uncultured,FO117592.36865.38380,g_uncultured,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;uncultured;
970,OTU970,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Cryomorphaceae,Owenweeksia,FQ032803.11245.12758,g_Owenweeksia,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;uncultured;
2512,OTU2512,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Leeuwenhoekiella,FQ032804.31701.33214,g_Leeuwenhoekiella,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Leeuwenhoekiella;
4732,OTU4732,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured,FQ032814.11137.12652,g_uncultured,Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;
1913,OTU1913,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Cryomorphaceae,NS10 marine group,FQ032815.3262.4778,g_NS10 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;NS10 marine group;
3217,OTU3217,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NS11-12 marine group,,FQ032816.6456.7971,f_NS11-12 marine group,Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;NS11-12 marine group;
1477,OTU1477,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS4 marine group,FQ032819.21712.23225,g_NS4 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS4 marine group;
813,OTU813,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Formosa,FQ032821.27163.28678,g_Formosa,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Formosa;
842,OTU842,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,NS9 marine group,,FQ032823.12062.13572,f_NS9 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;NS9 marine group;
362,OTU362,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,NS9 marine group,,FQ032825.6410.7925,f_NS9 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;NS9 marine group;
746,OTU746,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group,FQ032826.22493.24014,g_NS5 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;
59,OTU59,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS2b marine group,FQ032828.26868.28381,g_NS2b marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS2b marine group;
1001,OTU1001,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Marinoscillum,FQ032830.13921.15433,g_Marinoscillum,Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Marinoscillum;
1824,OTU1824,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Balneatrix,FR683359.1.1497,g_Balneatrix,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Nitrincolaceae;uncultured;
1679,OTU1679,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Formosa,FR683378.1.1485,g_Formosa,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Formosa;
1192,OTU1192,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS2b marine group,FR683443.1.1480,g_NS2b marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Formosa;
965,OTU965,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,FR683452.1.1468,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
820,OTU820,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,FR683711.1.1469,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
1710,OTU1710,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter clade NAC11-7 lineage,FR683792.1.1427,g_Roseobacter clade NAC11-7 lineage,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Amylibacter;
320,OTU320,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,SAR92 clade,FR683900.1.1492,g_SAR92 clade,Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Porticoccaceae;SAR92 clade;
659,OTU659,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,SAR92 clade,FR684049.1.1494,g_SAR92 clade,Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Porticoccaceae;SAR92 clade;
1456,OTU1456,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,FR684215.1.1469,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
1066,OTU1066,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,FR684614.1.1497,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
1176,OTU1176,Bacteria,Cyanobacteria,Chloroplast,,,,FR684736.1.1469,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
1570,OTU1570,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,FR684911.1.1497,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
1801,OTU1801,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,uncultured,FR685722.1.1484,g_uncultured,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;uncultured;
2371,OTU2371,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter clade DC5-80-3 lineage,FR686054.1.1414,g_Roseobacter clade DC5-80-3 lineage,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Planktomarina;
1563,OTU1563,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Ulvibacter,FR686064.1.1480,g_Ulvibacter,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Ulvibacter;
1839,OTU1839,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,FR744842.1.1447,g_Vibrio,Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;
1533,OTU1533,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,GQ153640.1.1499,g_Alcanivorax,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae1;Alcanivorax;
1048,OTU1048,Bacteria,Cyanobacteria,Chloroplast,,,,GQ231541.1.1478,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
3191,OTU3191,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,GQ246711.1.1430,g_Microbacterium,Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;
3000,OTU3000,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,GQ274096.1.1523,g_Alteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;
549,OTU549,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,GQ337094.1.1520,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
2544,OTU2544,Bacteria,Chloroflexi,SAR202 clade,,,,GQ337123.1.1475,c_SAR202 clade,Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;
2093,OTU2093,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,GQ337165.1.1513,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
463,OTU463,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,GQ337204.1.1522,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
1216,OTU1216,Bacteria,Chloroflexi,SAR202 clade,,,,GQ337221.1.1465,c_SAR202 clade,Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;
1361,OTU1361,Bacteria,Chloroflexi,SAR202 clade,,,,GQ337234.1.1475,c_SAR202 clade,Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;
1741,OTU1741,Bacteria,Chloroflexi,SAR202 clade,,,,GQ337267.1.1475,c_SAR202 clade,Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;
1376,OTU1376,Bacteria,Chloroflexi,SAR202 clade,,,,GQ337281.1.1459,c_SAR202 clade,Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;
1992,OTU1992,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,GQ346805.1.1398,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
217,OTU217,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,GQ346815.1.1325,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;uncultured;
103,OTU103,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,GQ346891.1.1321,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;uncultured;
1763,OTU1763,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,,GQ346902.1.1366,f_OCS155 marine group,Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus Actinomarina;
1921,OTU1921,Bacteria,Chloroflexi,JG30-KF-CM66,,,,GQ346947.1.1325,c_JG30-KF-CM66,Bacteria;Chloroflexi;JG30-KF-CM66;
2991,OTU2991,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,ZD0405,,GQ347003.1.1383,f_ZD0405,Bacteria;Proteobacteria;Gammaproteobacteria;Thiomicrospirales;Thioglobaceae;SUP05 cluster;
808,OTU808,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,GQ347099.1.1399,o_SAR324 clade(Marine group B),Bacteria;SAR324 clade(Marine group B);
1040,OTU1040,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,GQ347371.1.1373,o_SAR324 clade(Marine group B),Bacteria;SAR324 clade(Marine group B);
4709,OTU4709,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,uncultured,GQ347704.1.1365,g_uncultured,Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;uncultured;
2065,OTU2065,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter clade OCT lineage,GQ347996.1.1307,g_Roseobacter clade OCT lineage,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;uncultured;
3418,OTU3418,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,uncultured,GQ348085.1.1376,g_uncultured,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavicella;
506,OTU506,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group,GQ348141.1.1375,g_NS5 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;
1083,OTU1083,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,GQ348168.1.1389,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
2045,OTU2045,Bacteria,Cyanobacteria,Chloroplast,,,,GQ348575.1.1324,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
1879,OTU1879,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS4 marine group,GQ348644.1.1376,g_NS4 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS4 marine group;
64,OTU64,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,GQ349089.1.1337,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;Clade Ia;
344,OTU344,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group,GQ349357.1.1386,g_NS5 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;
2423,OTU2423,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Ulvibacter,GQ349579.1.1379,g_Ulvibacter,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Ulvibacter;
2545,OTU2545,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,NS9 marine group,,GQ349627.1.1369,f_NS9 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;NS9 marine group;
199,OTU199,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Candidatus Pelagibacter,GQ349786.1.1320,g_Candidatus Pelagibacter,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;Clade Ia;
2336,OTU2336,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,uncultured,GQ349827.1.1370,g_uncultured,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;uncultured;
314,OTU314,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Nitrospinaceae,Nitrospina,GQ349960.1.1356,g_Nitrospina,Bacteria;Nitrospinota;Nitrospinia;Nitrospinales;Nitrospinaceae;LS-NOB;
784,OTU784,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,GQ351140.1.1516,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
1112,OTU1112,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Salinisphaeraceae,ZD0417 marine group,GQ351147.1.1502,g_ZD0417 marine group,Bacteria;Proteobacteria;Gammaproteobacteria;Arenicellales;Arenicellaceae;uncultured;
881,OTU881,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,GQ351220.1.1437,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;uncultured;
926,OTU926,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Nitrospinaceae,Nitrospina,GQ351233.1.1485,g_Nitrospina,Bacteria;Nitrospinota;Nitrospinia;Nitrospinales;Nitrospinaceae;Nitrospina;
551,OTU551,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,GQ375271.1.1521,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
1061,OTU1061,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,GQ375274.1.1522,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
2022,OTU2022,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,GQ377776.1.1254,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
2465,OTU2465,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,GQ377836.1.1279,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
2080,OTU2080,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,GQ921360.1.1497,g_Aeromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;
786,OTU786,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,GQ921469.1.1495,g_Acinetobacter,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;
2769,OTU2769,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Oleispira,GQ926871.1.1619,g_Oleispira,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Saccharospirillaceae;Oleispira;
3442,OTU3442,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,GQ984355.1.1500,g_Psychrobacter,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;
2792,OTU2792,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,GU001892.1.1497,g_Halomonas,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas;
4131,OTU4131,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,GU061308.1.1461,g_Colwellia,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Colwellia;
387,OTU387,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,GU061386.1.1471,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
191,OTU191,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,,GU061415.1.1485,f_OCS155 marine group,Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus Actinomarina;
316,OTU316,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,GU061453.1.1514,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
1846,OTU1846,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus,GU061476.1.1445,g_Synechococcus,Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Cyanobium PCC-6307;
843,OTU843,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Sva0996 marine group,,GU061506.1.1478,f_Sva0996 marine group,Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group;
1777,OTU1777,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus,GU061750.1.1434,g_Synechococcus,Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Cyanobium PCC-6307;
343,OTU343,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,GU061789.1.1436,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;Clade Ib;
339,OTU339,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,GU061825.1.1499,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
894,OTU894,Bacteria,Cyanobacteria,Chloroplast,,,,GU061833.1.1462,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
2004,OTU2004,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,,GU061848.1.1488,f_OCS155 marine group,Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus Actinomarina;
591,OTU591,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured,GU061861.1.1423,g_uncultured,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;uncultured;
205,OTU205,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,GU061948.1.1441,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;Clade Ia;
729,OTU729,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Roseibacillus,GU062019.1.1504,g_Roseibacillus,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Roseibacillus;
1270,OTU1270,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus,GU062146.1.1447,g_Synechococcus,Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Synechococcus CC9902;
2087,OTU2087,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Martelella,GU086202.1.1390,g_Martelella,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Martelella;
3398,OTU3398,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,GU108528.1.1398,g_Alteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;
1829,OTU1829,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,GU108551.1.1401,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
1366,OTU1366,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,GU108553.1.1390,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
2039,OTU2039,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,GU108554.1.1400,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
838,OTU838,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Glaciecola,GU118928.1.1458,g_Glaciecola,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Agaribacter;
